날짜,지역,판매량,평균기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),합계 일사량(MJ/m2),평균 지면온도(°C)
20171222,서울특별시,7777,3.4,,1.1,66.6,3.41,0.4
20171223,서울특별시,10987,6.1,,1.1,75.8,3.28,1.7
20171224,서울특별시,11038,2.9,20,1.9,82,0.7,1.5
20171225,서울특별시,7712,-2.1,,2.8,43.1,6.77,-1
20171226,서울특별시,5236,-3.8,,2.9,41.8,6.72,-2.5
20171227,서울특별시,4682,-6.9,,1.9,31.4,6.61,-4.6
20171228,서울특별시,6067,-2.1,0,1.3,47,3.79,-1.7
20171229,서울특별시,8422,2.1,0,1.1,67,3.87,0.4
20171230,서울특별시,10435,1.4,0.7,0.9,79.5,2.25,-0.2
20171231,서울특별시,10760,-0.3,1,2.3,54.4,6.63,0.2
20180101,서울특별시,10759,-1.3,,1.4,39.1,6.14,-1.7
20180102,서울특별시,6483,-1.8,,1.8,42,5.36,-2.3
20180103,서울특별시,6080,-4.7,,2.2,42.3,6.56,-3.4
20180104,서울특별시,5942,-4.7,,1.4,43,4.73,-3.3
20180105,서울특별시,7078,-3,,1.7,48.4,5.96,-2.6
20180106,서울특별시,10665,-2.8,,1.5,45.8,6.79,-3.1
20180107,서울특별시,10382,-0.8,,0.8,42.1,3.75,-2.2
20180108,서울특별시,7195,1.3,0.9,1.8,51.9,2.39,0.4
20180109,서울특별시,6622,-4.2,0.5,2.9,59.4,5.6,-1.2
20180110,서울특별시,5615,-7.5,0.3,3,52,6.85,-2.9
20180111,서울특별시,5458,-11.1,,2.8,49.8,6.8,-5.6
20180112,서울특별시,7535,-10.2,0,1.7,35.4,7.11,-6.1
20180113,서울특별시,10988,-4.4,0.4,0.8,67.3,2.8,-2.8
20180114,서울특별시,12152,0.6,,1.2,64.1,4.55,-1.1
20180115,서울특별시,7849,4.7,0.2,1.4,63.9,4.67,1.5
20180116,서울특별시,8774,3.5,0,0.7,59.1,2.4,0.7
20180117,서울특별시,7945,4.5,,1.2,64.1,4.17,1.7
20180118,서울특별시,8522,2.1,0,1.9,59.6,,1.3
20180119,서울특별시,10104,1,,1.6,43,6.56,0.3
20180120,서울특별시,13007,2.2,,1.6,57.6,4.51,0.2
20180121,서울특별시,10953,0.4,,1,36.6,5.88,-0.5
20180122,서울특별시,7604,0.2,3.3,1.5,56.5,1.91,-0.2
20180123,서울특별시,6228,-11.7,,3.7,42,7.62,-4.4
20180124,서울특별시,5804,-14.2,,3.4,31.6,7.73,-8.3
20180125,서울특별시,5905,-14,,2.8,32.6,7.28,-8.5
20180126,서울특별시,7033,-14.8,,2.6,34.9,,-9.3
20180127,서울특별시,9739,-9.9,,1.4,37.4,7.5,-7.5
20180128,서울특별시,10826,-6.3,,2.6,36,6.38,-4.4
20180129,서울특별시,6647,-8.5,,2.7,35,7.68,-6.2
20180130,서울특별시,7597,-5.3,2.9,1.3,62,5.41,-4.6
20180131,서울특별시,7263,-2.6,0,1.6,54.5,3.9,-1.8
20180201,서울특별시,7167,-4,,1.6,44.1,8.09,-3.1
20180202,서울특별시,7746,-2.4,,1.6,51.1,7.29,-2.8
20180203,서울특별시,9213,-7.3,0.5,3.8,47,13.65,-3.7
20180204,서울특별시,8951,-9.5,,3.1,40.9,13.65,-6.6
20180205,서울특별시,5426,-9.4,,3,37.8,14.31,-6.8
20180206,서울특별시,5422,-10.1,,3.1,36.5,14.13,-6.9
20180207,서울특별시,6100,-8,,1.5,39.8,13.39,-6.1
20180208,서울특별시,6274,-4.4,,1.2,43.3,13.05,-3.9
20180209,서울특별시,8504,0.4,,1.1,43.9,6.56,-1.3
20180210,서울특별시,10265,-0.5,,3,47.4,9.41,0.2
20180211,서울특별시,9600,-6.1,0,2.7,42.5,12.26,-3.4
20180212,서울특별시,6304,-5.8,0,2.7,40.8,13.74,-3.2
20180213,서울특별시,6267,-0.8,,2.7,54.5,13.72,-1.5
20180214,서울특별시,7749,3.5,,2.6,51,6.92,1.7
20180215,서울특별시,10401,-0.7,,2.5,28,,0.9
20180216,서울특별시,13995,-1.1,,2.1,40.1,14.1,-0.1
20180217,서울특별시,10372,-3,,2.9,25.6,15.8,-0.8
20180218,서울특별시,8898,-0.4,,1.3,26.9,11.22,-0.1
20180219,서울특별시,6997,1.8,,1.5,48.6,10.08,1.1
20180220,서울특별시,7015,0.9,,2.5,41,13.56,1.2
20180221,서울특별시,6325,-0.9,,2.3,31.5,15.28,0.2
20180222,서울특별시,6558,1.3,0.4,2.2,59,9.45,0.2
20180223,서울특별시,8173,4.2,3.7,1.9,81.1,9.43,2.4
20180224,서울특별시,9749,2.4,,2.1,49.4,13.09,2.8
20180225,서울특별시,11079,1.9,,1.7,40.6,16.17,2.7
20180226,서울특별시,8167,3.1,,1.4,43.1,16.36,2.5
20180227,서울특별시,9080,4.2,,0.9,48.8,2.86,0.4
20180228,서울특별시,8616,4.6,25,2,73.3,1.71,2
20180301,서울특별시,9405,-0.2,0.5,3.8,61.9,17.94,2.5
20180302,서울특별시,8263,-0.7,,1.5,34,19.03,1.1
20180303,서울특별시,11530,7.9,0,1.5,38.1,18.04,5.3
20180304,서울특별시,10657,9.8,11.5,1.2,89.1,3.92,7.6
20180305,서울특별시,7755,5.5,3.5,2,67.5,13.8,6.7
20180306,서울특별시,8048,4.5,,1.6,46.8,17.85,4.1
20180307,서울특별시,7343,6.4,0.5,1.8,54,10.76,4.4
20180308,서울특별시,7622,4.6,4,1.9,76,10.3,6.5
20180309,서울특별시,10556,4.5,,1.5,63.3,10.22,4.3
20180310,서울특별시,12352,4.6,,2,65.8,16.45,5
20180311,서울특별시,13806,6.4,,2,51.3,18.11,7.2
20180312,서울특별시,9415,8,,1.4,45.8,13.92,6.6
20180313,서울특별시,11578,12.4,,1.8,60.5,14.17,10.6
20180314,서울특별시,11848,17,,2.3,58.8,15.46,14.8
20180315,서울특별시,8226,12.4,27,2.1,92.1,1.47,12.2
20180316,서울특별시,9359,7.1,,1.9,46.9,21.16,9.6
20180317,서울특별시,13806,6.6,,1.5,48,17.87,7.9
20180318,서울특별시,11976,8.2,0.5,1.2,55.9,7.19,8.8
20180319,서울특별시,7304,8,1,2.5,64.5,3.33,7.5
20180320,서울특별시,7517,4.7,,3.4,39.9,14.36,5.2
20180321,서울특별시,7153,2.1,1,1.7,64.1,6.13,3.2
20180322,서울특별시,10138,4.9,,2.2,61.5,20.45,7.3
20180323,서울특별시,10891,6.1,,2,55.3,19.08,7.6
20180324,서울특별시,14002,7.6,,2.1,61.9,15.35,9.5
20180325,서울특별시,14607,9.6,,1.7,65.6,19.12,11.2
20180326,서울특별시,11224,11,,1.9,64.5,19.06,12.2
20180327,서울특별시,10957,13.3,,1.6,61.1,15.98,12.6
20180328,서울특별시,11935,14,,2.2,66.4,13.94,13.1
20180329,서울특별시,15417,15.4,,1.6,66.3,14.86,15.1
20180330,서울특별시,17684,14.8,,1.7,55.6,20.01,14.9
20180331,서울특별시,19850,14,,1.9,52.9,17.08,14.5
20180401,서울특별시,19482,15.6,,1.5,68.8,7.25,14.3
20180402,서울특별시,17438,18.4,,1.9,64,14.14,17.8
20180403,서울특별시,15608,17.8,0.1,2.1,72.9,6.88,17.2
20180404,서울특별시,13539,13.4,18.5,1.9,67,19.56,15.9
20180405,서울특별시,9458,7.6,10.5,2,90.6,2.15,8.9
20180406,서울특별시,12479,5.8,6.5,3.1,71.6,11.19,8.7
20180407,서울특별시,14048,4.2,0.2,4.1,45.5,18.24,6.2
20180408,서울특별시,13837,3.9,3,1.8,59.6,7.93,5.2
20180409,서울특별시,10705,7.9,,1.1,57.9,21.52,10
20180410,서울특별시,12758,15.1,5,3.5,51,17.52,13
20180411,서울특별시,14518,12.6,,3,49.4,24.86,15.1
20180412,서울특별시,16869,13.3,,2.6,30.5,24.56,13.6
20180413,서울특별시,16375,14.6,,1.3,22.9,12.68,12.1
20180414,서울특별시,16557,9,9,1.8,78.8,3.49,9.4
20180415,서울특별시,17107,9.5,,2.4,65.5,17.29,11.4
20180416,서울특별시,15685,11.6,,1.6,41.9,24.79,13.3
20180417,서울특별시,17054,12.9,,1.9,37.9,24.03,14.2
20180418,서울특별시,16280,12.4,,1.9,35.4,25.09,16.2
20180419,서울특별시,16993,14,,1.9,38.8,22.36,17.5
20180420,서울특별시,27037,18.4,,1.3,46,22.68,20.6
20180421,서울특별시,29809,18.7,,1.9,32,26.14,21.4
20180422,서울특별시,20361,15.5,15.5,1.1,57.4,5.09,14.4
20180423,서울특별시,9773,9.3,59,2.2,93.9,2.59,9.9
20180424,서울특별시,13216,12.1,3,1.4,63.3,10.14,12.6
20180425,서울특별시,21294,14.6,,1.5,37.8,24.97,16.1
20180426,서울특별시,19339,14.9,,2.1,51.9,21.87,17.9
20180427,서울특별시,23481,15.7,,1.7,52.9,22.9,19.3
20180428,서울특별시,26814,15.4,,2,49,26.04,20
20180429,서울특별시,25679,16.2,,1.9,43.1,24.5,20.5
20180430,서울특별시,25158,19.2,,1.6,61.6,20.74,23
20180501,서울특별시,26571,20.4,0,1.5,72.8,12.42,23.5
20180502,서울특별시,14882,15.1,12,1.9,90.4,2.47,16
20180503,서울특별시,17039,11.2,1,2.7,62.4,12.18,11.4
20180504,서울특별시,21969,14.1,,2.7,45.5,27.26,17.9
20180505,서울특별시,28662,18.3,,2.6,46.8,22.26,20.4
20180506,서울특별시,22433,16.6,22,1.1,86.4,9.31,17.2
20180507,서울특별시,28032,19.2,,1.2,60.3,17.7,18.4
20180508,서울특별시,18162,17.5,,1.7,50.9,23.25,21.3
20180509,서울특별시,22014,15.7,,1.7,50.4,26.77,21.7
20180510,서울특별시,23025,15.4,,2.3,67.4,26.53,22.5
20180511,서울특별시,23861,16.1,,1.8,59.8,18.7,21
20180512,서울특별시,21558,14.2,32,0.9,89.3,1.32,14.6
20180513,서울특별시,28353,15.8,0.5,1.9,82.5,16.37,18.4
20180514,서울특별시,24338,18.2,,1.4,71.4,19.19,21.2
20180515,서울특별시,35187,23.2,0,1.1,56.4,21.18,25.3
20180516,서울특별시,19923,22.3,45,1.9,93.8,1.6,21.6
20180517,서울특별시,17860,20.9,83,1.4,97,3.96,21.2
20180518,서울특별시,19049,16.3,6.5,1.3,86.8,5.64,18.2
20180519,서울특별시,31516,17.6,,1.5,47.5,29.13,21.2
20180520,서울특별시,25173,17,,1.4,32.1,14.42,16.9
20180521,서울특별시,24288,17.8,,1.4,43.9,24.59,21.8
20180522,서울특별시,21285,18.1,12.5,1.1,75.5,10.87,19
20180523,서울특별시,19559,17.3,6.5,2.5,57.1,29.2,21.9
20180524,서울특별시,25983,18.3,,2.2,47.4,27.02,22.1
20180525,서울특별시,28113,19.7,,1.8,47.4,25.48,23.1
20180526,서울특별시,36657,21.8,,1.4,50.1,26.86,26.3
20180527,서울특별시,31232,20.3,,1.7,47.4,17.12,23.6
20180528,서울특별시,29735,22.3,,1.6,49.8,26.49,27.9
20180529,서울특별시,23966,21.4,1,1.8,69.3,13.34,25.2
20180530,서울특별시,25684,20.2,0,1.9,69.8,21.67,24.8
20180531,서울특별시,29168,20.9,,1.9,58.9,26.94,28.3
20180601,서울특별시,32619,23.8,,1.9,50.4,27.94,30.6
20180602,서울특별시,35185,23.4,,2,44.5,28.49,30.8
20180603,서울특별시,34571,24,,1.6,39.4,27.18,31
20180604,서울특별시,21662,22.6,,1.9,50.1,21.13,27.4
20180605,서울특별시,30601,23.7,,1.7,52.5,24.35,30.7
20180606,서울특별시,32161,23,,2,62.9,26.6,30.9
20180607,서울특별시,24492,22.2,,2,69.3,24.04,30
20180608,서울특별시,25948,21.9,,2.1,68,18.52,31.1
20180609,서울특별시,30175,23.7,0.5,1.4,60.6,20.24,29.7
20180610,서울특별시,30054,21.3,0.5,1.4,59.9,12.82,23.7
20180611,서울특별시,16262,20.2,5,1.4,67.3,11.27,24.5
20180612,서울특별시,27188,21.3,0,1.7,65.5,23.45,26.2
20180613,서울특별시,29987,22,0,1.5,64,15.75,25.3
20180614,서울특별시,20442,21.6,29,1.1,74.9,10.34,22.7
20180615,서울특별시,26299,21.7,16.5,1.4,60.8,23.64,24
20180616,서울특별시,34299,22.5,,1.4,56.4,28.06,26.8
20180617,서울특별시,29979,22.8,,1.3,66.9,14.78,25.3
20180618,서울특별시,28508,24.8,,1.5,54.9,26.17,30.4
20180619,서울특별시,22787,22.4,,1.8,61.3,17.65,26.4
20180620,서울특별시,29353,22.7,,2.3,68.1,24.52,28.9
20180621,서울특별시,29417,23.7,,2.2,60.1,28.21,32.2
20180622,서울특별시,34453,25,,1.8,45.1,27.4,30.6
20180623,서울특별시,36986,24.5,,2,50.6,22.19,30.7
20180624,서울특별시,39726,25.2,,1.9,62.8,25.7,32.8
20180625,서울특별시,31753,27.1,,1.2,57.1,20.44,31.7
20180626,서울특별시,17073,22.3,71.5,2.4,88.3,1.29,22.5
20180627,서울특별시,25128,22.3,1,2,81.9,13.56,23.7
20180628,서울특별시,21211,23.3,26.5,1.1,85.1,9.31,24.5
20180629,서울특별시,30062,24.7,6.5,1.5,78.5,18.79,26.6
20180630,서울특별시,30983,24.4,14.5,0.9,83.8,8.76,24.7
20180701,서울특별시,23041,21.9,83.5,0.8,94.6,2.09,22.2
20180702,서울특별시,17225,22.6,59.5,0.7,95.4,4.73,23.5
20180703,서울특별시,35307,27.4,0.1,0.8,74.4,22.88,29.1
20180704,서울특별시,33579,27.3,,1.7,69.6,22.43,30
20180705,서울특별시,27251,25.3,0.5,1.2,72.8,10.88,27
20180706,서울특별시,29154,23.9,,1.8,57.8,15.83,27
20180707,서울특별시,34171,23.7,,1.6,51.4,27.32,30.9
20180708,서울특별시,33402,23.3,,1.5,51.5,23.98,29.8
20180709,서울특별시,15026,20.8,14,1.1,82.3,4,22.4
20180710,서울특별시,21039,23.7,16.5,0.7,87.8,5.92,23.9
20180711,서울특별시,27544,26.8,3,1.3,82.9,8.74,26.9
20180712,서울특별시,31326,26.6,1,1.5,82.4,9.92,27
20180713,서울특별시,37966,27.3,,1.8,74.8,15.6,28.9
20180714,서울특별시,44257,27.9,0,1.9,69.6,21.51,30.6
20180715,서울특별시,44508,28.3,,1.6,69.6,22.91,32.6
20180716,서울특별시,38444,28.7,,1.7,64.3,26.67,33.4
20180717,서울특별시,37902,28.1,,1.7,66.5,25.57,34.3
20180718,서울특별시,36871,28.2,,1.6,64.8,25.14,34.2
20180719,서울특별시,40706,28.7,,1.6,64.1,27.8,35.6
20180720,서울특별시,46149,29.5,,1.5,62.6,25.73,35.7
20180721,서울특별시,49885,30.6,,1.5,53.6,26.62,36.1
20180722,서울특별시,53006,31.8,,1.4,49.6,25.51,37.3
20180723,서울특별시,41610,31.7,,1.8,53.8,18.94,37.1
20180724,서울특별시,46018,31.4,,1.6,59.5,18.42,35.8
20180725,서울특별시,42656,30.1,,2.4,66.3,14.36,36.1
20180726,서울특별시,41586,30.1,,1.5,68.8,12.21,32.7
20180727,서울특별시,48389,30.9,,1.9,69.3,19.29,36.2
20180728,서울특별시,44418,29.5,7.5,1.2,77.1,9.59,30.1
20180729,서울특별시,44727,31.3,,1.2,52.4,22.33,32.2
20180730,서울특별시,37355,31.7,,1.2,50.9,19.68,34
20180731,서울특별시,43664,32.6,,1.5,50.5,24.5,38.8
20180801,서울특별시,49919,33.6,,1.7,55.5,25.69,40.1
20180802,서울특별시,47485,33.7,,1.6,54.4,18.58,36.8
20180803,서울특별시,46283,33.1,,1.9,55.3,21.09,39.3
20180804,서울특별시,42078,31.1,,2.4,60.6,20.45,37.8
20180805,서울특별시,41643,30,2,2.6,71.8,20.62,34.9
20180806,서울특별시,37362,30.5,6.5,1.6,71.6,17.86,31.4
20180807,서울특별시,35250,30.5,,1.5,63.4,15.62,29.7
20180808,서울특별시,38331,31,,2.1,64.8,20.59,35.5
20180809,서울특별시,31762,28.8,2,1.5,76.3,11.11,32.5
20180810,서울특별시,38985,30.7,,1.4,60.9,21.85,32.7
20180811,서울특별시,42263,31,,1.5,55.8,21.37,36.3
20180812,서울특별시,41357,30.6,5,1.5,61.3,18.23,34.7
20180813,서울특별시,32522,30.5,1,1.4,68.6,12.29,29.9
20180814,서울특별시,41207,31.7,,1.3,58.3,18.37,34.7
20180815,서울특별시,38547,31.7,1,1.2,59.5,18.41,34
20180816,서울특별시,35073,29.9,,1.7,51,24.88,35.5
20180817,서울특별시,32640,27.2,,1.8,39.8,26.23,34.6
20180818,서울특별시,35187,26.7,,1.4,44.6,23.27,34.1
20180819,서울특별시,34126,28.2,,1.2,50.6,19.79,34.4
20180820,서울특별시,28142,29.1,0,2,55.6,15.07,32.7
20180821,서울특별시,27501,26.6,5,2.5,71.4,12.86,27
20180822,서울특별시,33137,30.7,,1.1,54.1,22.27,34.6
20180823,서울특별시,26786,29.4,3,1.7,59.1,9.3,31.5
20180824,서울특별시,24780,24.4,7.5,2.5,86.3,5.69,24.7
20180825,서울특별시,33208,25.2,,2.6,68,16.21,25.6
20180826,서울특별시,27160,23.2,2,1.2,70,13.54,24.3
20180827,서울특별시,19403,22.7,19.5,0.8,91,7.84,24.4
20180828,서울특별시,14967,23.7,96.5,0.9,92.4,4.42,24.4
20180829,서울특별시,18633,25.2,42,2.4,86,2.75,24.8
20180830,서울특별시,24241,25.3,9.5,1.8,80.9,8.74,25.8
20180831,서울특별시,30241,25.6,0.1,1.6,67.4,22.17,27.2
20180901,서울특별시,32206,25.5,,1.3,59.4,21.01,26.5
20180902,서울특별시,27927,25.1,,1.5,55.8,20.34,28.4
20180903,서울특별시,13653,23.3,34.5,1,85.3,3.36,24.3
20180904,서울특별시,21335,23.2,,2.2,69.4,21.64,24
20180905,서울특별시,19593,24,,2.5,63.5,22.46,24.8
20180906,서울특별시,17868,24.1,1,2,69.9,11.03,24.7
20180907,서울특별시,20072,22,0.5,2.5,54.6,19.58,23.3
20180908,서울특별시,25088,21.7,,1.7,48.8,22.75,24.5
20180909,서울특별시,26057,22.2,,1.2,49,21.4,26.4
20180910,서울특별시,17449,22.9,,1.6,49.5,19.84,26.2
20180911,서울특별시,17078,21.6,,1.5,48.1,17.85,24.5
20180912,서울특별시,19452,22.8,,1.4,52,20.39,26.8
20180913,서울특별시,19108,23.5,,1.2,63.5,12.93,27.2
20180914,서울특별시,18045,23.5,0.5,1.3,66.9,9.8,25.4
20180915,서울특별시,22324,23.3,0.2,1,76,7.44,24
20180916,서울특별시,17737,22.2,2,1.7,83.6,6.44,23.2
20180917,서울특별시,15732,22.3,0.1,1.9,64.3,20.42,25.8
20180918,서울특별시,16105,22,,1.2,59.8,15.85,25.5
20180919,서울특별시,14804,22.1,0.2,1,59.1,10.66,24.4
20180920,서울특별시,11112,19,5,1.8,82.4,4.08,19.8
20180921,서울특별시,15612,19.4,18,1.3,85.8,6.31,20.8
20180922,서울특별시,19151,20.8,6.5,1.8,62.3,19.06,21.1
20180923,서울특별시,19973,19.4,0,1.6,52.9,14.77,19.9
20180924,서울특별시,22337,17.6,,2.1,48.3,20.96,19.3
20180925,서울특별시,17546,17.8,,1.1,48,20.19,19.8
20180926,서울특별시,14566,19.4,,1.7,47.9,17.06,21.8
20180927,서울특별시,11916,18.9,,1.3,47.6,18.26,20
20180928,서울특별시,12235,17.5,,1.2,58.1,8.76,18.6
20180929,서울특별시,20163,20.2,,1,55.5,19.37,21.9
20180930,서울특별시,14992,17.6,,2.3,52.5,16.95,21.2
20181001,서울특별시,7840,15.4,0,2.9,55.1,15.1,19
20181002,서울특별시,11584,15.9,,1.6,61.4,18.84,19.4
20181003,서울특별시,15265,17.3,,1.3,58,18.49,19.8
20181004,서울특별시,11129,19.3,,1.3,56.5,15.88,20.7
20181005,서울특별시,8564,16.9,36.5,1.7,84.1,2.74,17
20181006,서울특별시,13161,18,55.5,2.2,84,6.86,18.8
20181007,서울특별시,13416,16.4,,1.7,53.5,15.65,16.2
20181008,서울특별시,10325,14.8,,1.1,47,15.28,14.1
20181009,서울특별시,11253,15.3,0,1.1,52.5,8.89,14.3
20181010,서울특별시,6508,12,7,2.5,61,10.3,13.1
20181011,서울특별시,6135,9.7,,2.1,51,15.42,8.9
20181012,서울특별시,7825,10.9,,1.3,54,17.67,12.7
20181013,서울특별시,10611,12.5,,1,54,16.78,13.8
20181014,서울특별시,11432,13.2,,1.5,60,16.08,14.9
20181015,서울특별시,7616,15.2,,1.4,69.9,11.26,15.7
20181016,서울특별시,7663,14.5,,1.3,55.9,13.15,15.4
20181017,서울특별시,7074,12.4,,1.3,53.3,16.44,14.9
20181018,서울특별시,7057,12.7,,1.1,59.5,13.37,14.8
20181019,서울특별시,8250,13.1,,1.4,54.3,16.23,14.9
20181020,서울특별시,10943,13.4,,1.2,53.9,15.97,15.1
20181021,서울특별시,10308,13.4,,1.1,49.5,15.77,14.8
20181022,서울특별시,6809,14,,1,50,12.13,15.1
20181023,서울특별시,6387,12.2,5,1.1,75.1,7.68,13.1
20181024,서울특별시,7645,12.5,,1.3,66,13.64,12.4
20181025,서울특별시,8161,13.8,,0.9,55.5,13.56,12.7
20181026,서울특별시,6859,12.2,11,1.6,74.1,3,12.8
20181027,서울특별시,9232,8.7,,3.2,49.6,11.6,8.7
20181028,서울특별시,9096,8.3,5.5,1.5,77.1,6.66,8.8
20181029,서울특별시,4446,7.2,0,2,57.3,9.84,7.5
20181030,서울특별시,5106,6.1,0,1.6,51.3,14.55,6.9
20181031,서울특별시,5488,7.4,0,1.6,55.4,14.51,8
20181101,서울특별시,7894,8.4,,1.3,53.4,13.95,8.1
20181102,서울특별시,8590,10.6,,1.1,54.9,13.52,9.8
20181103,서울특별시,11625,11.2,,1.3,56,13.59,10.3
20181104,서울특별시,9466,11.6,,1.3,55,13.41,11
20181105,서울특별시,7344,11.9,,1.1,65.5,11.09,11.4
20181106,서울특별시,6606,12.2,,0.9,70.5,7.85,12
20181107,서울특별시,6608,12.8,2,1.1,79.5,4.05,13.2
20181108,서울특별시,5289,11.8,64,1.8,93.8,1.31,13.1
20181109,서울특별시,7948,12.1,1,3.1,69,9.75,12.5
20181110,서울특별시,10754,11.9,0,1.4,69.1,11.14,11.5
20181111,서울특별시,8514,8.1,0,1.1,67.6,3.72,8.1
20181112,서울특별시,5589,8.1,,1.2,52.3,12.12,7.1
20181113,서울특별시,5796,8.8,,1.1,51.6,11.7,7.8
20181114,서울특별시,6241,9.8,,1.1,55.5,11.61,8.4
20181115,서울특별시,6538,9.7,,1,55.4,9.55,8.6
20181116,서울특별시,7210,8.8,,1.7,65.1,8.28,8.9
20181117,서울특별시,9567,4.9,,1.4,50.8,9.17,3.9
20181118,서울특별시,7819,6.1,,1.1,48.8,7.49,5.6
20181119,서울특별시,5484,6.5,,1.4,50.4,7.83,5.6
20181120,서울특별시,5631,6.5,0.2,1.8,39.9,11.03,5.3
20181121,서울특별시,5652,5.8,1,1.2,57.1,2.95,6.3
20181122,서울특별시,5257,2.3,,2.4,35,10.82,2.2
20181123,서울특별시,6537,1.9,,1.4,29.6,10.76,1.5
20181124,서울특별시,7991,2.6,10.9,1.8,71.1,3.38,0.6
20181125,서울특별시,9487,4.8,,1,77.8,7.9,3.3
20181126,서울특별시,6145,6.3,,1,70.1,10.05,4.7
20181127,서울특별시,5684,7.1,,1.5,65,4.62,5.2
20181128,서울특별시,5726,5,,1.6,27.1,9.68,3.2
20181129,서울특별시,5803,3.5,0,1.3,41.4,2.81,1.3
20181130,서울특별시,7114,2.7,,1.4,46.1,10.22,2.1
20181201,서울특별시,9319,5.5,,1,42.3,9.88,3.2
20181202,서울특별시,9588,8.2,,1.3,50.1,5.59,5.1
20181203,서울특별시,7149,11.5,9.5,1.4,87.4,0.65,9.4
20181204,서울특별시,5163,6.7,5,2.7,74.9,3.33,7.5
20181205,서울특별시,5112,0,,1.5,39.5,6.33,0.8
20181206,서울특별시,4570,2.4,0,2.3,50.5,7.77,2.6
20181207,서울특별시,4342,-7.3,,3.8,37.1,10.91,-3.3
20181208,서울특별시,6744,-8.3,,2.6,37.1,10.75,-5.2
20181209,서울특별시,7002,-7.2,,1.5,27,10.57,-4.9
20181210,서울특별시,4453,-2.5,,0.9,33.3,9.46,-2.3
20181211,서울특별시,5202,0.2,,1.2,44.8,3.59,-0.6
20181212,서울특별시,5331,-1.9,,2.2,39,10.42,-1
20181213,서울특별시,4706,-2.2,1.3,2,57.4,5.83,-0.6
20181214,서울특별시,6376,-4.4,,1.7,44.3,10.4,-2.3
20181215,서울특별시,6887,-2.4,,1,46.8,8.83,-1.9
20181216,서울특별시,8272,0,0.3,0.9,63.8,3.19,-0.3
20181217,서울특별시,5504,1.6,0.3,1.8,60.1,8.92,0.7
20181218,서울특별시,5252,2.6,,1.4,56.3,7.67,-0.4
20181219,서울특별시,5653,4,,1.4,53.4,9.29,2.6
20181220,서울특별시,6456,3.4,,0.9,45.5,8.78,2.1
20181221,서울특별시,7857,5.6,,1.1,40.1,5.82,2.1
20181222,서울특별시,10744,6.9,,1.5,48.9,8.93,5
20181223,서울특별시,9359,2.4,,2.9,43,9.58,3.3
20181224,서울특별시,5906,-2.3,,1.6,35.9,10.5,-0.2
20181225,서울특별시,7685,0.6,,1.2,53.4,5.67,-0.3
20181226,서울특별시,4343,-1.5,,2.8,40.8,9.97,1.4
20181227,서울특별시,4373,-10.1,,3.5,28.3,10.44,-4
20181228,서울특별시,5291,-10.5,,2.5,33,10.36,-5.4
20181229,서울특별시,7264,-7.6,,2.9,29,10.57,-4.3
20181230,서울특별시,6758,-6.8,,1.2,35.9,10.48,-4.3
20181231,서울특별시,6149,-5.4,,1.2,39.6,9.16,-4.5
